ward_name,population_density,area_sq_km,population,center_latitude,center_longitude
Dharampeth,0.003,4.20,54000,21.1372,79.0735
Sadar,0.0032,3.80,52000,21.1540,79.0877
Civil Lines,0.0018,6.10,35000,21.1614,79.0829
Laxmi Nagar,0.0022,5.50,41000,21.1342,79.1108
Manish Nagar,0.0012,7.20,28000,21.1204,79.0631
Pratap Nagar,0.002,5.90,38000,21.1621,79.1014
Kalamna,0.001,9.40,19000,21.1759,79.1154
Jaripatka,0.0028,4.60,45000,21.1488,79.1016
Gandhibagh,0.0034,3.20,55000,21.1489,79.0751
Mankapur,0.0008,11.00,15000,21.1170,79.0530
Sitabuldi,0.0033,3.50,52000,21.1480,79.0830
Itwari,0.0031,3.70,50000,21.1510,79.0780
